,Repository Path,Copy Path,Corrected File Path,Duplicate Files,File Size,Date of File Creation,Line/Pixel Count,Page Number
27,./repository/158/203/780/157/485/825/505,./extractedFiles/5055b285ea8d49d975d108793028e519.txt,./extractedFiles/5055b285ea8d49d975d108793028e519.txt,,1277,2019-10-18 11:28:04.958953,22,[Pg 30]
28,./repository/0/177/623/713/470/270/326,./extractedFiles/62307fabd9fdd2a9e07431f7326f7710.jpg,./extractedFiles/62307fabd9fdd2a9e07431f7326f7710.txt,,1174,2019-10-18 11:28:04.966974,20,[Pg 31]
29,./repository/2/813/704/068/725/307,./extractedFiles/daa7e09352caf7c8e60bc40bb7c3a182.txt,./extractedFiles/daa7e09352caf7c8e60bc40bb7c3a182.txt,,1390,2019-10-18 11:28:05.000383,28,[Pg 32]
30,./repository/14/213/287/182/336/877/384/738,./extractedFiles/899374837a78a633f29817b823df1241.txt,./extractedFiles/899374837a78a633f29817b823df1241.txt,,1297,2019-10-18 11:28:05.004300,20,[Pg 33]
31,./repository/071/502/576/003/848/185/615,./extractedFiles/51658ebf18a99483006f752a051adf70.txt,./extractedFiles/51658ebf18a99483006f752a051adf70.txt,,654,2019-10-18 11:28:04.961154,10,[Pg 34]
32,./repository/265/812/030/808/040,./extractedFiles/9acb04deb080ab80fab302f1b856eeb2.txt,./extractedFiles/9acb04deb080ab80fab302f1b856eeb2.txt,,27,2019-10-18 11:28:04.990944,3,[Pg 35]
33,./repository/04/010/237/513/605/364,./extractedFiles/ab4eb6ae3ff5bb06fc315a732010b4d0.txt,./extractedFiles/ab4eb6ae3ff5bb06fc315a732010b4d0.txt,,693,2019-10-18 11:28:04.953543,16,[Pg 37]
34,./repository/36/266/570/102/443/643,./extractedFiles/3eef46c34f4cef2e010a756e62af96c3.txt,./extractedFiles/3eef46c34f4cef2e010a756e62af96c3.txt,,1434,2019-10-18 11:28:04.982211,22,[Pg 38]
35,./repository/87/755/670/251/356/634,./extractedFiles/ebddb4f3665939b15d207e65e5977e98.txt,./extractedFiles/ebddb4f3665939b15d207e65e5977e98.txt,,1040,2019-10-18 11:28:04.970847,21,[Pg 39]
36,./repository/0/155/214/157/116/305/233,./extractedFiles/33e250f361b1e75a1cd9f4ba1a255d10.jpg,./extractedFiles/33e250f361b1e75a1cd9f4ba1a255d10.txt,,1437,2019-10-19 03:29:44.470465,20,[Pg 40]
37,./repository/237/653/627/071/575/712,./extractedFiles/2a17d5c7a5a1707b2b6a356ea7e32ceb.txt,./extractedFiles/2a17d5c7a5a1707b2b6a356ea7e32ceb.txt,,1202,2019-10-18 11:28:04.991763,21,[Pg 41]
38,./repository/270/178/021/252/106/546,./extractedFiles/d645ab6e0919252120fdf8b7e107f29e.txt,./extractedFiles/d645ab6e0919252120fdf8b7e107f29e.txt,,1235,2019-10-18 11:28:04.987105,21,[Pg 42]
39,./repository/28/055/353/243,./extractedFiles/934a29feaa35b3b59bfec5beea0dd82c.txt,./extractedFiles/934a29feaa35b3b59bfec5beea0dd82c.txt,,1212,2019-10-18 11:28:04.973796,20,[Pg 43]
40,./repository/6/301/832/335/340/336/086/457,./extractedFiles/f754d680633043b5c33238fb19d036db.txt,./extractedFiles/f754d680633043b5c33238fb19d036db.txt,,1308,2019-10-18 11:28:04.972198,20,[Pg 44]
41,./repository/47/663/428/702/801/814,./extractedFiles/c4b1bb8ae910e820b78e24a936b67b4c.txt,./extractedFiles/c4b1bb8ae910e820b78e24a936b67b4c.txt,,1305,2019-10-18 11:28:04.998280,20,[Pg 45]
42,./repository/171/434/572/301/607/622/205,./extractedFiles/c502b226fc70a61032759eab43949171.txt,./extractedFiles/c502b226fc70a61032759eab43949171.txt,,1432,2019-10-18 11:28:05.005187,21,[Pg 46]
43,./repository/565/458/022/538/634,./extractedFiles/4368cacfda395e2a92e0aa854b5bc65d.txt,./extractedFiles/4368cacfda395e2a92e0aa854b5bc65d.txt,,1307,2019-10-18 11:28:04.986372,21,[Pg 47]
44,./repository/5/445/111/004/687/558,./extractedFiles/aef8bce5fe57864cab0d0111bf5445a9.txt,./extractedFiles/aef8bce5fe57864cab0d0111bf5445a9.txt,,1344,2019-10-18 11:28:05.002955,22,[Pg 48]
45,./repository/58/714/603/671/025/171/637/261,./extractedFiles/19c62736197d1520b1c7639064178bf5.txt,./extractedFiles/19c62736197d1520b1c7639064178bf5.txt,,1372,2019-10-18 11:28:04.957679,20,[Pg 49]
46,./repository/5/533/008/386/160/642/261,./extractedFiles/1fcd62e246c0b616b838fe0b0b33bf55.txt,./extractedFiles/1fcd62e246c0b616b838fe0b0b33bf55.txt,,471,2019-10-18 11:28:05.001609,10,[Pg 50]
47,./repository/7/530/406/400/421/387/004,./extractedFiles/4007831aad240ead04e690fe4035f7cd.txt,./extractedFiles/4007831aad240ead04e690fe4035f7cd.txt,,1181,2019-10-18 11:28:04.968874,20,[Pg 51]
48,./repository/14/244/746/487/057/674/724,./extractedFiles/4a927d4976750b798d46474f42dd4c91.jpg,./extractedFiles/4a927d4976750b798d46474f42dd4c91.txt,,1194,2019-10-18 11:28:05.003569,22,[Pg 52]
49,./repository/756/214/206/683,./extractedFiles/b3abde8d699ba6dff02a41df2e965df7.jpg,./extractedFiles/b3abde8d699ba6dff02a41df2e965df7.txt,,1358,2019-10-18 11:28:04.983538,20,[Pg 53]
50,./repository/8/701/656/036/746/134/772,./extractedFiles/2ae7c7e49ffd3196476a3065fa61d078.jpg,./extractedFiles/2ae7c7e49ffd3196476a3065fa61d078.txt,,1475,2019-10-18 11:28:04.976642,25,[Pg 54]
51,./repository/4/411/555/131/152/701,./extractedFiles/ea1c0c7ace2b5191319555abe114fb4c.txt,./extractedFiles/ea1c0c7ace2b5191319555abe114fb4c.txt,,1451,2019-10-18 11:28:04.994969,21,[Pg 55]
52,./repository/5/218/307/304/705,./extractedFiles/f5e07f403cd70e3aa8eca199bdfc2c5f.txt,./extractedFiles/f5e07f403cd70e3aa8eca199bdfc2c5f.txt,,1262,2019-10-18 11:28:05.001836,21,[Pg 56]
53,./repository/402/486/587/218/034/626/606,./extractedFiles/6066c2de6430d81cd27b8569c8420fc4.txt,./extractedFiles/6066c2de6430d81cd27b8569c8420fc4.txt,,1269,2019-10-18 11:28:04.990634,21,[Pg 57]
54,./repository/701/672/203/270/348/801/177,./extractedFiles/b79cf7b11088430723e0227a6fbe107f.txt,./extractedFiles/b79cf7b11088430723e0227a6fbe107f.txt,,1165,2019-10-18 11:28:04.953300,21,[Pg 58]
55,./repository/320/885/074/608/855/270,./extractedFiles/0e725b5c8cb99afe8e09f6470e588023.txt,./extractedFiles/0e725b5c8cb99afe8e09f6470e588023.txt,,1304,2019-10-18 11:28:04.993218,22,[Pg 59]
56,./repository/76/246/572/462/850/873,./extractedFiles/39a780a5826cd4f275ffc69f4cbce267.txt,./extractedFiles/39a780a5826cd4f275ffc69f4cbce267.txt,,436,2019-10-18 11:28:04.997142,10,[Pg 60]
57,./repository/18/521/410/113/073/034/515,./extractedFiles/f51b5f43b037b031fcd1e09141f25e81.txt,./extractedFiles/f51b5f43b037b031fcd1e09141f25e81.txt,,1343,2019-10-18 11:28:04.963937,23,[Pg 61]
58,./repository/61/813/770/734/855/081,./extractedFiles/1bb98ce05584370cd7731ee81a9aade6.txt,./extractedFiles/1bb98ce05584370cd7731ee81a9aade6.txt,,1409,2019-10-18 11:28:04.952459,24,[Pg 62]
59,./repository/80/816/345/877/221/121/633,./extractedFiles/336c1a2f1a122ed7785cdced4361f808.txt,./extractedFiles/336c1a2f1a122ed7785cdced4361f808.txt,,1353,2019-10-18 11:28:04.971424,22,[Pg 63]
60,./repository/713/160/671/147/486/516/768,./extractedFiles/86761a56a847411d79e609d6f1f3d1e7.txt,./extractedFiles/86761a56a847411d79e609d6f1f3d1e7.txt,,1258,2019-10-18 11:28:04.967665,24,[Pg 64]
